Sample Type,File Name,Path,Instrument Method,Position,Inj Vol,Sample Name
Unknown,CMP010_022723_Lumos_BC_Croco_10_7_filtrate_4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F4,5,Croco_10-7_filtrate_4 neg
Unknown,CMP016_022723_Lumos_BC_Pro_11_18_filtrate_5,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F5,5,Pro_11-18_filtrate_5 neg
Unknown,CMP016_022723_Lumos_BC_Pro_11_18_filtrate_4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F6,5,Pro_11-18_filtrate_4 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_6,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F7,5,Tpsu_9-24_filtrate_6 neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F8,5,Ehux_9-22_filtrate_3 neg
Unknown,CMP016_022723_Lumos_BC_Pro_11_18_filtrate_1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F9,5,Pro_11-18_filtrate_1 neg
Unknown,CMP_exomtab_022723_Lumos_BC_pool_10,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:A3,5,CMP_exomtab_pool neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A1,5,Ehux_9-22_filtrate_4 neg
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A2,5,Syn_10-30_filtrate_4 neg
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_6,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A3,5,Syn_10-30_filtrate_6 neg
Unknown,CMP016_022723_Lumos_BC_Pro_11_18_filtrate_B2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A4,5,Pro_11-18_filtrate_B2 neg
Unknown,CMP010_022723_Lumos_BC_Croco_10_7_filtrate_2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A5,5,Croco_10-7_filtrate_2 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_5,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A6,5,Tpsu_9-24_filtrate_5 neg
Unknown,CMP008_022723_Lumos_BC_MM_10_10_filtrate_5,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A7,5,MM_10-10_filtrate_5 neg
Unknown,CMP_exomtab_022723_Lumos_BC_pool_11,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:A3,5,CMP_exomtab_pool neg
Unknown,CMP010_022723_Lumos_BC_Croco_10_7_filtrate_6,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A8,5,Croco_10-7_filtrate_6 neg
Unknown,CMP008_022723_Lumos_BC_MM_10_10_filtrate_4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:A9,5,MM_10-10_filtrate_4 neg
Unknown,CMP010_022723_Lumos_BC_Croco_10_7_filtrate_1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B1,5,Croco_10-7_filtrate_1 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B2,5,Tpsu_9-24_filtrate_1 neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_B2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B3,5,Ehux_9-22_filtrate_B2 neg
Unknown,CMP016_022723_Lumos_BC_Pro_11_18_filtrate_B1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B4,5,Pro_11-18_filtrate_B1 neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_B4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B5,5,Ehux_9-22_filtrate_B4 neg
Unknown,CMP_exomtab_022723_Lumos_BC_pool_12,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:A3,5,CMP_exomtab_pool neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_B3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B6,5,Ehux_9-22_filtrate_B3 neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_B1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B7,5,Ehux_9-22_filtrate_B1 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,Y:B8,5,Tpsu_9-24_filtrate_3 neg
